Model,Year,Region,Color,Fuel_Type,Transmission,Engine_Size_L,Mileage_KM,Price_USD,Sales_Classification,average_price_usd_2020
M3,2015,Asia,Red,Hybrid,Manual,2.0,41514,116902,High,73750.0
X1,2011,North America,Black,Hybrid,Automatic,3.2,104742,107465,Low,37061.0
M5,2021,Asia,Red,Hybrid,Automatic,3.0,105162,32076,High,108454.0
M3,2014,Asia,White,Electric,Automatic,3.8,90282,64049,Low,78203.0
M5,2019,Asia,Red,Diesel,Manual,2.1,97294,53277,Low,108181.0
i8,2015,Asia,White,Hybrid,Automatic,2.4,194395,118788,Low,148363.0
X1,2022,Middle East,Grey,Hybrid,Manual,4.3,143013,116432,Low,35222.0
M5,2021,South America,Grey,Petrol,Automatic,3.3,88342,108240,Low,112966.0
X3,2018,Middle East,White,Petrol,Manual,3.1,33370,52717,High,42588.0
M3,2020,Africa,Black,Petrol,Manual,3.6,82668,86748,Low,75650.0
X5,2020,Middle East,White,Hybrid,Automatic,4.9,132299,35401,High,57175.0
M5,2019,South America,White,Diesel,Manual,3.1,192690,37177,Low,105579.0
X5,2021,Africa,Red,Diesel,Manual,3.4,99697,60278,Low,58936.0
X5,2021,Middle East,Black,Petrol,Automatic,4.3,44279,96256,High,59017.0
X5,2024,South America,Black,Hybrid,Manual,3.6,111661,82675,Low,58791.0
5 Series,2024,Asia,Blue,Electric,Manual,3.7,157789,86855,Low,30474.0
X6,2023,Africa,White,Hybrid,Automatic,2.8,84367,112542,High,66497.0
X3,2021,Asia,Silver,Hybrid,Automatic,3.8,57759,119692,Low,44845.0
M3,2016,Africa,Black,Hybrid,Manual,1.5,113832,49278,Low,73398.0
M5,2014,South America,Red,Electric,Automatic,4.2,125379,96739,Low,106135.0
X5,2012,Middle East,Black,Petrol,Manual,3.1,107014,57537,Low,59638.0
X6,2016,South America,Silver,Hybrid,Automatic,4.9,180186,46263,High,66876.0
M3,2014,Europe,Red,Electric,Manual,2.5,74474,65464,High,75631.0
3 Series,2018,Africa,Black,Electric,Manual,1.8,117061,54762,Low,36359.0
M3,2016,South America,Grey,Electric,Automatic,3.0,102675,93915,High,71761.0
X6,2011,Middle East,Blue,Diesel,Automatic,3.4,27706,117237,Low,68427.0
X6,2018,Asia,Red,Electric,Manual,2.3,10027,89970,Low,67131.0
3 Series,2021,North America,Black,Hybrid,Automatic,3.9,87632,65089,Low,37752.0
3 Series,2023,Europe,Black,Electric,Manual,2.8,128295,86402,Low,36691.0
M3,2011,Asia,Red,Diesel,Automatic,3.7,40915,44322,Low,74763.0
X3,2019,Asia,Silver,Electric,Automatic,4.2,88705,111352,Low,44430.0
7 Series,2018,Middle East,Blue,Petrol,Manual,4.2,94859,50620,Low,95198.0
3 Series,2019,South America,Silver,Hybrid,Manual,2.8,193021,44950,Low,37858.0
X6,2014,Europe,Grey,Diesel,Manual,3.5,178427,101523,High,67189.0
5 Series,2011,Middle East,Red,Hybrid,Automatic,3.1,139212,31815,Low,33517.0
7 Series,2013,Asia,Red,Hybrid,Manual,4.5,144832,118363,Low,99573.0
i3,2021,South America,Red,Electric,Manual,4.6,107985,43355,Low,42497.0
X1,2024,Europe,Red,Petrol,Automatic,2.7,24141,84346,Low,37183.0
i3,2021,North America,Silver,Electric,Automatic,1.8,112862,66155,Low,42494.0
X1,2016,Europe,Black,Petrol,Manual,2.1,37975,101753,Low,37311.0
X3,2021,North America,Grey,Electric,Manual,2.8,75480,68274,Low,43348.0
X3,2022,Middle East,Grey,Petrol,Manual,3.5,52217,78144,High,43122.0
M3,2017,North America,Grey,Hybrid,Automatic,3.8,24291,87604,High,77799.0
M5,2024,North America,Black,Diesel,Manual,2.7,143885,90388,High,110900.0
7 Series,2012,South America,Silver,Petrol,Manual,3.8,93073,102551,Low,88154.0
7 Series,2023,North America,Grey,Diesel,Automatic,4.8,64153,117121,Low,94731.0
X6,2010,Europe,Red,Hybrid,Manual,3.8,128477,68106,Low,64920.0
M5,2011,North America,Grey,Hybrid,Automatic,3.5,94375,71912,Low,112179.0
M5,2017,South America,White,Petrol,Manual,3.4,190609,94286,Low,110387.0
X6,2013,South America,White,Hybrid,Manual,4.5,94915,50923,High,60178.0
X3,2023,Europe,Red,Hybrid,Manual,3.0,12922,101473,High,40636.0
i8,2015,Middle East,Black,Electric,Manual,3.6,46176,96965,Low,147965.0
X5,2015,Middle East,Black,Hybrid,Automatic,3.3,121271,76799,Low,56658.0
X3,2019,North America,Silver,Hybrid,Automatic,4.0,189804,119927,Low,40821.0
i3,2013,Africa,Black,Diesel,Manual,1.6,192509,72385,Low,44661.0
i3,2015,Asia,Silver,Electric,Manual,3.5,68161,63696,High,42511.0
X6,2022,Asia,White,Electric,Manual,1.9,182027,35951,Low,61892.0
X5,2024,Asia,Blue,Hybrid,Automatic,2.6,120597,95900,High,56177.0
X5,2019,Africa,Blue,Electric,Manual,2.1,161177,95908,Low,57571.0
X1,2021,Asia,Silver,Diesel,Manual,2.6,84621,119897,Low,39176.0
3 Series,2011,Middle East,Red,Hybrid,Automatic,4.0,22280,55612,Low,38430.0
M5,2019,Europe,Black,Diesel,Manual,3.8,127689,72188,Low,112189.0
M5,2013,Asia,Red,Diesel,Automatic,3.5,17838,46231,High,111636.0
X1,2023,Middle East,Silver,Diesel,Manual,2.0,172729,85801,High,38813.0
7 Series,2024,North America,Grey,Electric,Manual,2.4,80659,92213,Low,92572.0
7 Series,2024,Africa,Blue,Diesel,Automatic,3.1,132686,42013,High,92280.0
7 Series,2023,Europe,Red,Electric,Manual,5.0,50602,83812,Low,88341.0
7 Series,2016,Africa,Grey,Petrol,Automatic,2.1,49521,93993,High,95632.0
X3,2021,Africa,Blue,Electric,Automatic,4.2,169825,30158,High,43373.0
7 Series,2017,Middle East,Grey,Petrol,Automatic,3.0,112754,93431,High,86754.0
M3,2014,Middle East,Blue,Diesel,Manual,4.6,42711,40950,High,76051.0
5 Series,2011,Europe,White,Petrol,Automatic,2.1,146963,90224,Low,30621.0
3 Series,2024,South America,Grey,Hybrid,Automatic,3.2,144152,49557,Low,36348.0
X6,2014,Europe,Blue,Diesel,Automatic,1.7,105592,100663,High,60017.0
X5,2017,South America,Grey,Petrol,Manual,3.7,31779,83059,Low,59050.0
M5,2019,Asia,Blue,Petrol,Manual,3.5,154626,45389,High,112815.0
X6,2018,North America,Red,Diesel,Automatic,2.2,162862,36520,Low,64106.0
3 Series,2021,Africa,Grey,Diesel,Manual,4.3,170208,40194,Low,39759.0
5 Series,2021,Asia,Blue,Electric,Manual,1.6,140059,82668,Low,37872.0
X3,2021,Middle East,Grey,Electric,Automatic,4.3,63050,107348,Low,44740.0
7 Series,2022,North America,Silver,Petrol,Automatic,1.6,123623,52099,Low,85766.0
X5,2018,Middle East,Black,Petrol,Manual,3.8,159629,117084,Low,59741.0
M3,2022,Asia,Blue,Diesel,Manual,1.8,189688,38811,High,79478.0
X6,2024,North America,White,Petrol,Manual,2.4,120004,109733,High,65677.0
X3,2022,Asia,Black,Diesel,Manual,4.0,160878,53997,Low,40154.0
5 Series,2018,Middle East,Grey,Petrol,Automatic,3.3,45371,87345,Low,30618.0
X5,2016,Europe,Silver,Petrol,Automatic,4.7,182118,64095,Low,56349.0
X6,2018,Europe,Silver,Hybrid,Manual,1.7,10316,117764,Low,62939.0
X5,2017,South America,Red,Petrol,Automatic,4.3,169491,40275,High,57397.0
X6,2010,Africa,Silver,Petrol,Manual,1.7,176650,33796,Low,62991.0
7 Series,2021,South America,Blue,Petrol,Automatic,1.9,68969,111071,Low,99598.0
X6,2017,South America,Red,Hybrid,Manual,1.9,111235,39627,Low,63712.0
M5,2017,Asia,Blue,Diesel,Manual,5.0,51891,103316,Low,113936.0
i3,2020,South America,Grey,Hybrid,Automatic,4.6,47754,36666,Low,43820.0
M5,2012,Europe,Black,Electric,Manual,5.0,86899,56202,Low,114311.0
M5,2010,South America,White,Diesel,Manual,2.8,121393,108152,High,106320.0
i3,2017,North America,Silver,Hybrid,Manual,3.7,70038,102447,Low,40036.0
X5,2012,North America,White,Petrol,Automatic,4.2,172752,85983,Low,57428.0
3 Series,2010,Asia,Black,Petrol,Manual,2.1,107572,86660,High,35721.0
3 Series,2020,North America,Silver,Hybrid,Automatic,3.0,158046,78509,High,37125.0
X6,2014,Middle East,Black,Electric,Automatic,4.2,3374,84798,Low,67598.0
5 Series,2019,South America,Red,Hybrid,Manual,4.2,132625,88464,Low,37599.0
M5,2019,Europe,Red,Hybrid,Automatic,2.1,252,66606,Low,112913.0
7 Series,2018,Middle East,Black,Electric,Automatic,4.7,38502,85604,Low,85378.0
M3,2021,North America,Grey,Diesel,Manual,1.7,54226,116198,High,78791.0
X1,2016,Africa,Grey,Petrol,Manual,4.1,172950,119996,High,35640.0
3 Series,2018,Asia,White,Hybrid,Automatic,1.7,19899,50651,High,39831.0
7 Series,2017,Europe,White,Petrol,Manual,4.4,185687,106473,High,87633.0
X1,2021,Africa,Red,Hybrid,Automatic,4.7,190652,41920,Low,36484.0
5 Series,2011,Europe,Black,Diesel,Automatic,2.5,116859,103384,High,33423.0
5 Series,2010,Europe,Red,Petrol,Manual,1.8,194101,34120,Low,30061.0
5 Series,2016,Europe,Silver,Petrol,Manual,3.2,167770,119412,High,35880.0
X3,2016,South America,Blue,Diesel,Manual,2.5,143519,34749,High,43414.0
M5,2023,Asia,Red,Electric,Manual,3.0,130509,94884,High,113356.0
3 Series,2017,Europe,Grey,Petrol,Manual,3.8,89365,86684,High,37273.0
X3,2014,Middle East,Black,Petrol,Manual,2.2,80167,60899,High,42441.0
5 Series,2012,Asia,Red,Diesel,Automatic,2.7,124260,39501,Low,36760.0
7 Series,2021,Europe,Black,Diesel,Automatic,4.2,83191,60731,Low,95372.0
i3,2015,Middle East,Red,Diesel,Manual,2.6,67021,58894,Low,42253.0
3 Series,2020,South America,Black,Electric,Automatic,3.8,55451,79774,Low,37412.0
7 Series,2012,North America,Silver,Hybrid,Automatic,4.2,178603,42764,High,98684.0
X3,2012,North America,White,Diesel,Automatic,2.3,121703,116468,High,43967.0
M5,2014,Africa,Red,Petrol,Manual,1.5,88800,59448,Low,112288.0
3 Series,2024,Africa,Grey,Electric,Manual,4.3,69653,113482,Low,38553.0
X5,2023,South America,Black,Diesel,Manual,4.4,183143,86846,Low,59201.0
X1,2012,Europe,Silver,Electric,Manual,3.9,63716,74494,Low,39615.0
X1,2014,South America,Blue,Hybrid,Automatic,3.5,148268,109617,High,38696.0
3 Series,2019,Africa,Silver,Electric,Manual,4.4,33051,108637,Low,35986.0
M5,2016,Asia,Silver,Diesel,Automatic,2.9,163812,88181,Low,109817.0
3 Series,2024,South America,Blue,Hybrid,Automatic,2.2,69698,79650,Low,39297.0
X3,2023,South America,White,Petrol,Automatic,3.6,156141,51627,Low,41511.0
X5,2016,North America,Silver,Hybrid,Automatic,4.4,118309,99967,High,58524.0
X6,2020,Europe,Silver,Diesel,Automatic,1.7,64180,32120,High,65059.0
i3,2018,Asia,Blue,Hybrid,Manual,3.6,198246,91547,High,40484.0
X1,2024,Asia,Grey,Hybrid,Automatic,3.8,198285,102818,Low,39964.0
5 Series,2024,Middle East,Grey,Petrol,Manual,3.6,120789,49279,High,37023.0
5 Series,2019,Middle East,Black,Petrol,Automatic,3.8,178723,36571,High,32318.0
i8,2019,Middle East,Silver,Diesel,Manual,3.7,124371,96066,High,147008.0
X3,2021,Europe,Blue,Hybrid,Manual,2.0,126258,32119,Low,41048.0
7 Series,2022,Middle East,Blue,Diesel,Automatic,2.3,126953,57691,Low,95612.0
3 Series,2012,South America,Blue,Petrol,Manual,3.7,78678,96429,Low,36490.0
X1,2024,Middle East,Grey,Electric,Manual,1.6,190540,112644,Low,35910.0
X1,2016,Africa,Red,Petrol,Automatic,3.7,70187,49010,Low,36542.0
X5,2010,Asia,White,Petrol,Automatic,3.8,35565,39793,Low,58972.0
3 Series,2013,South America,Black,Electric,Automatic,2.3,173100,101189,Low,37300.0
3 Series,2022,South America,Red,Electric,Automatic,3.6,68978,107968,Low,37448.0
3 Series,2023,Asia,Grey,Diesel,Manual,2.4,58991,84635,Low,36128.0
X1,2014,Europe,Blue,Hybrid,Manual,3.1,48040,77484,High,38470.0
3 Series,2016,Europe,White,Electric,Automatic,4.7,149253,71328,Low,35835.0
X5,2016,Africa,White,Electric,Manual,3.0,146541,72024,High,57808.0
X5,2022,Africa,White,Electric,Automatic,3.7,123227,72436,Low,57502.0
5 Series,2020,South America,Blue,Electric,Manual,1.8,18642,53862,Low,35708.0
X3,2022,Africa,Black,Petrol,Manual,1.8,10590,105924,Low,40567.0
M5,2013,North America,Grey,Petrol,Manual,4.2,31068,62719,Low,112500.0
X3,2022,Europe,Black,Petrol,Manual,2.7,197678,49919,Low,44486.0
3 Series,2016,Africa,Black,Petrol,Automatic,2.3,189931,71591,Low,37867.0
X5,2020,Europe,Blue,Diesel,Manual,4.1,127392,86328,High,56559.0
X1,2012,Middle East,White,Electric,Automatic,2.1,180074,42552,Low,35207.0
3 Series,2015,Europe,Red,Hybrid,Manual,2.4,191042,89156,High,38951.0
X1,2021,South America,Grey,Diesel,Automatic,3.0,37616,79927,Low,36366.0
M3,2011,South America,White,Petrol,Automatic,2.7,75468,39495,High,74241.0
M5,2019,Europe,Red,Petrol,Automatic,3.5,46076,38271,Low,113054.0
X3,2022,North America,Grey,Electric,Manual,2.7,21607,74435,High,42669.0
X3,2023,Asia,Blue,Petrol,Automatic,2.9,87564,103988,Low,43799.0
M3,2018,Asia,Silver,Electric,Manual,4.5,66023,73953,Low,77251.0
X3,2014,South America,White,Hybrid,Manual,4.6,195047,106673,Low,40545.0
M3,2015,Africa,Blue,Diesel,Manual,4.4,152887,42738,Low,74236.0
X3,2021,Asia,Grey,Hybrid,Manual,4.5,122956,53097,Low,40750.0
X6,2021,South America,Blue,Petrol,Automatic,3.5,27659,60936,Low,61358.0
3 Series,2021,Asia,White,Hybrid,Manual,3.8,157700,87186,Low,36528.0
5 Series,2021,Asia,Black,Diesel,Automatic,3.5,133836,38861,High,36574.0
3 Series,2013,Asia,Silver,Hybrid,Automatic,4.2,10678,33086,Low,37930.0
X1,2023,Asia,White,Hybrid,Automatic,3.4,84606,89868,Low,35267.0
X5,2023,Asia,Silver,Electric,Automatic,1.9,34635,87087,Low,59020.0
X3,2019,Middle East,Grey,Electric,Manual,4.2,17934,111173,Low,41618.0
X1,2016,Middle East,Blue,Diesel,Automatic,4.4,157249,56309,Low,38323.0
X1,2021,North America,Grey,Petrol,Automatic,2.2,184417,76909,Low,35931.0
7 Series,2018,Asia,Red,Hybrid,Manual,2.5,31798,58752,Low,90842.0
i8,2016,North America,Blue,Hybrid,Manual,2.5,145112,82447,Low,151669.0
X1,2023,Asia,Silver,Petrol,Manual,3.3,66862,80705,High,36359.0
7 Series,2010,Asia,White,Petrol,Automatic,2.8,28668,65268,Low,85130.0
X6,2020,South America,Blue,Diesel,Automatic,2.4,135437,114860,High,65272.0
X5,2023,North America,Blue,Hybrid,Manual,4.0,83959,43850,High,57037.0
7 Series,2018,Africa,Silver,Electric,Manual,4.5,198286,96859,High,90503.0
X6,2013,Asia,Red,Petrol,Automatic,1.6,74914,107293,Low,60018.0
M5,2022,North America,Black,Petrol,Automatic,3.5,56293,58700,Low,114537.0
X3,2018,Africa,Silver,Hybrid,Automatic,1.6,60574,62253,High,43166.0
X1,2012,North America,Black,Electric,Manual,1.8,80289,100980,Low,39259.0
M5,2016,North America,Silver,Electric,Automatic,4.0,67272,78120,Low,105982.0
M5,2015,North America,White,Petrol,Manual,4.1,54534,94839,Low,110965.0
3 Series,2017,North America,Blue,Petrol,Manual,4.3,86002,100678,Low,38717.0
5 Series,2020,Europe,Blue,Diesel,Manual,3.2,165669,38170,High,37002.0
X1,2018,Africa,White,Petrol,Automatic,4.5,104441,79035,Low,37928.0
3 Series,2023,South America,White,Petrol,Automatic,2.1,190846,56836,Low,38618.0
M3,2014,Africa,Black,Hybrid,Manual,2.4,180096,33093,Low,70021.0
X3,2010,North America,Black,Electric,Manual,2.0,191879,50319,Low,42198.0
X1,2012,Africa,White,Electric,Automatic,4.3,185093,108905,Low,38936.0
i8,2019,Africa,Silver,Hybrid,Manual,2.3,187214,31212,Low,141447.0
3 Series,2021,South America,Black,Electric,Automatic,2.0,162323,72641,Low,38790.0
5 Series,2017,Europe,Silver,Electric,Manual,3.7,69712,82957,High,31398.0
M3,2024,Africa,White,Hybrid,Manual,1.8,2655,91248,High,72632.0
X3,2020,Asia,Silver,Hybrid,Manual,1.7,66746,113110,Low,42012.0
i3,2015,Asia,Red,Diesel,Manual,1.9,90245,34249,High,40911.0
7 Series,2017,North America,White,Hybrid,Manual,1.5,7334,77120,Low,95848.0
X1,2018,Asia,Black,Hybrid,Manual,3.9,13275,79969,High,36537.0
X1,2013,South America,Blue,Hybrid,Manual,3.5,128136,101839,Low,37455.0
X5,2010,Africa,Black,Diesel,Automatic,2.2,187108,105887,Low,55392.0
X5,2023,South America,White,Diesel,Manual,2.3,162977,31112,Low,58395.0
7 Series,2010,South America,Black,Petrol,Manual,4.3,52940,51743,Low,86129.0
X1,2019,Europe,White,Hybrid,Automatic,3.3,106294,102607,High,38107.0
M3,2021,Asia,Blue,Diesel,Automatic,3.1,139850,34852,Low,74429.0
7 Series,2023,Asia,Blue,Diesel,Automatic,2.3,52061,96938,Low,86754.0
X5,2016,North America,White,Petrol,Manual,4.9,88027,103663,High,59559.0
3 Series,2011,Asia,Blue,Diesel,Automatic,3.5,196822,74108,Low,38799.0
M5,2012,Asia,Black,Electric,Automatic,2.0,65212,48461,Low,112121.0
X3,2010,Middle East,Red,Diesel,Automatic,2.9,35130,113525,Low,43991.0
M3,2014,Europe,Blue,Hybrid,Automatic,2.7,129742,111245,High,70106.0
X3,2010,South America,Blue,Electric,Automatic,2.2,73482,61329,Low,43693.0
X5,2017,Africa,Silver,Petrol,Automatic,4.8,32268,68638,High,58667.0
X5,2010,North America,Grey,Diesel,Manual,4.6,53211,116928,High,57941.0
M3,2020,South America,Grey,Petrol,Manual,2.2,154481,100103,High,71968.0
7 Series,2010,South America,Silver,Hybrid,Manual,2.7,147526,35576,Low,92493.0
X1,2011,South America,Blue,Diesel,Manual,4.2,183658,52709,Low,38309.0
M5,2021,South America,Black,Electric,Manual,3.6,50949,40782,Low,106354.0
i3,2015,Europe,Grey,Electric,Manual,3.9,20717,79002,Low,42384.0
5 Series,2016,Middle East,Silver,Petrol,Manual,3.8,135036,38344,High,31502.0
M3,2014,Europe,White,Petrol,Manual,4.0,29746,103056,High,72588.0
M3,2010,Europe,Black,Hybrid,Manual,4.0,87426,60458,High,72542.0
M5,2010,Europe,Red,Diesel,Manual,4.9,28560,32486,Low,108504.0
X5,2012,North America,White,Diesel,Manual,2.7,68627,65633,High,57458.0
3 Series,2023,Africa,Black,Petrol,Manual,4.6,95366,101460,Low,35427.0
X3,2014,Africa,Red,Diesel,Manual,2.5,198457,114845,Low,40131.0
i3,2021,Europe,White,Hybrid,Automatic,1.7,129001,105938,Low,40257.0
X3,2019,South America,Red,Electric,Manual,3.8,171481,42383,High,40577.0
i8,2015,Africa,Red,Diesel,Manual,1.9,60913,43439,Low,156523.0
5 Series,2013,Asia,Blue,Hybrid,Automatic,3.8,45722,74501,Low,34957.0
M3,2016,Middle East,Blue,Electric,Manual,1.6,38412,81786,Low,72955.0
3 Series,2020,South America,Grey,Diesel,Manual,4.0,175591,64007,High,38767.0
M3,2017,North America,Silver,Petrol,Manual,4.5,164356,36497,Low,72939.0
X6,2020,Asia,Black,Hybrid,Automatic,3.8,45712,90061,Low,62133.0
X1,2010,Africa,Grey,Diesel,Automatic,1.6,100516,49598,Low,38079.0
M5,2015,Asia,White,Petrol,Automatic,4.1,95889,52950,Low,107954.0
M5,2017,Middle East,Grey,Diesel,Automatic,2.8,55643,96914,Low,106024.0
i3,2014,South America,Grey,Diesel,Automatic,2.7,22417,98122,Low,40984.0
M5,2013,Asia,Silver,Diesel,Automatic,3.2,193534,70907,High,107016.0
M3,2011,South America,Grey,Petrol,Manual,4.5,137855,96941,Low,79258.0
i8,2015,Asia,Black,Hybrid,Automatic,2.4,6365,30074,Low,158829.0
M3,2015,North America,Grey,Electric,Automatic,1.9,167647,88780,Low,70141.0
3 Series,2020,Middle East,Red,Petrol,Manual,4.5,105037,73453,High,37604.0
X6,2010,Europe,White,Hybrid,Manual,4.7,7762,61914,Low,67541.0
X6,2018,South America,Grey,Diesel,Manual,2.6,40764,116735,Low,63821.0
i3,2021,Europe,Silver,Hybrid,Automatic,3.3,24238,111742,Low,42525.0
M5,2020,Africa,Grey,Petrol,Automatic,2.0,195911,64700,Low,114641.0
X3,2015,Middle East,Grey,Diesel,Automatic,4.7,134039,70672,Low,43167.0
3 Series,2022,Middle East,Silver,Petrol,Automatic,4.1,116572,47284,Low,37651.0
M3,2012,Europe,White,Diesel,Manual,4.7,194359,93837,High,79956.0
7 Series,2013,Africa,Red,Diesel,Manual,3.9,143864,74401,High,96091.0
3 Series,2021,South America,Grey,Hybrid,Automatic,2.1,37246,112265,Low,38100.0
7 Series,2020,Asia,White,Petrol,Automatic,2.6,188234,71570,Low,89083.0
M5,2019,Asia,Blue,Hybrid,Automatic,4.7,164678,49840,Low,113874.0
3 Series,2012,South America,Silver,Petrol,Manual,2.8,137794,99478,Low,37676.0
X1,2024,Europe,Grey,Diesel,Manual,4.0,87263,71666,High,35351.0
X3,2013,South America,Grey,Petrol,Manual,2.0,156944,55881,Low,42495.0
M5,2016,Africa,White,Diesel,Automatic,4.5,39593,109963,Low,105685.0
X5,2013,Europe,White,Diesel,Automatic,3.0,162617,79299,Low,57777.0
i3,2018,Africa,Blue,Diesel,Manual,4.1,180348,46141,High,41536.0
X1,2010,Europe,Silver,Electric,Manual,2.5,97558,101553,Low,38708.0
3 Series,2017,Africa,Silver,Diesel,Manual,2.7,124960,115369,Low,37819.0
X6,2016,Europe,Black,Electric,Manual,1.6,28972,89763,High,60942.0
X5,2011,Europe,Blue,Petrol,Automatic,4.9,141616,117994,Low,57247.0
i3,2017,Asia,Black,Diesel,Manual,4.3,42089,99138,Low,43186.0
X5,2010,North America,Silver,Diesel,Manual,1.8,102510,107741,Low,58723.0
X1,2020,Europe,Grey,Petrol,Automatic,5.0,64144,39207,Low,38185.0
5 Series,2021,North America,Blue,Hybrid,Automatic,3.6,166252,52030,Low,34268.0
X5,2018,Asia,Black,Petrol,Manual,4.5,106246,72271,Low,56974.0
X1,2018,Europe,Black,Petrol,Manual,1.7,25059,42749,Low,38137.0
M3,2011,Africa,White,Hybrid,Manual,2.9,49603,80312,Low,70459.0
i3,2016,Middle East,Black,Hybrid,Manual,3.8,134173,89891,Low,42020.0
X6,2019,Africa,Grey,Hybrid,Manual,3.0,199006,116494,High,64404.0
3 Series,2012,Africa,Red,Electric,Automatic,2.3,190156,116827,High,35303.0
X6,2016,Africa,Grey,Petrol,Automatic,2.6,160714,115705,High,62966.0
5 Series,2021,North America,White,Petrol,Manual,4.9,128242,51552,Low,31935.0
7 Series,2019,North America,Silver,Hybrid,Automatic,2.5,40052,32230,Low,95360.0
5 Series,2010,South America,Red,Electric,Automatic,4.0,9951,39129,High,32168.0
3 Series,2011,North America,Grey,Hybrid,Automatic,4.1,146359,105042,Low,39330.0
X6,2023,South America,Grey,Petrol,Automatic,2.9,167411,94959,High,63709.0
X5,2021,Asia,Silver,Diesel,Manual,4.2,48241,106595,Low,55774.0
X3,2014,Middle East,White,Petrol,Automatic,4.7,95070,83106,Low,43381.0
7 Series,2014,North America,Silver,Electric,Automatic,3.6,182618,116107,High,95090.0
X3,2020,South America,Silver,Hybrid,Automatic,1.7,158566,114790,Low,44397.0
i8,2016,South America,Red,Hybrid,Manual,2.9,32573,42409,Low,158817.0
X1,2018,Asia,Blue,Diesel,Automatic,1.8,138433,112394,Low,38737.0
7 Series,2018,North America,White,Diesel,Manual,4.1,30215,40062,Low,94964.0
3 Series,2012,Europe,Blue,Diesel,Manual,2.2,154736,78565,Low,36301.0
5 Series,2012,Middle East,Blue,Electric,Automatic,3.0,121611,76420,Low,37931.0
M3,2013,Middle East,White,Petrol,Manual,3.1,74067,67269,Low,78648.0
X5,2017,Africa,Blue,Hybrid,Manual,2.9,110631,110049,Low,56209.0
3 Series,2015,North America,Blue,Petrol,Automatic,3.1,187396,71905,High,37951.0
X6,2010,North America,Blue,Petrol,Automatic,2.8,36327,66518,High,67379.0
3 Series,2017,South America,Silver,Electric,Manual,3.4,144332,102814,Low,36196.0
5 Series,2013,Middle East,Grey,Electric,Manual,2.6,163437,69488,High,30027.0
X1,2010,North America,Red,Hybrid,Manual,3.6,4768,35905,Low,36681.0
X3,2017,Europe,Red,Electric,Manual,3.2,84155,70778,High,44251.0
X6,2013,South America,Red,Petrol,Manual,4.0,142408,60324,Low,66602.0
X1,2015,Middle East,Silver,Hybrid,Automatic,3.5,117990,58708,Low,38251.0
M5,2017,South America,Silver,Diesel,Manual,4.3,57377,91637,High,114127.0
X1,2023,Europe,Silver,Diesel,Manual,3.2,112416,53115,Low,36841.0
3 Series,2012,North America,White,Hybrid,Manual,3.8,110051,82258,High,39171.0
7 Series,2023,South America,Black,Electric,Manual,2.3,179767,47128,High,93199.0
X5,2018,Europe,Silver,Diesel,Manual,2.9,124134,37111,Low,59860.0
M5,2012,Europe,Black,Petrol,Automatic,3.7,124564,119792,Low,111048.0
X5,2018,Africa,Black,Electric,Manual,1.6,6634,67794,High,57387.0
X6,2011,Africa,Red,Hybrid,Automatic,3.6,97667,81625,Low,64063.0
7 Series,2023,Europe,Black,Diesel,Manual,4.9,109291,30463,High,96836.0
M3,2011,Middle East,Black,Diesel,Automatic,4.6,106672,101785,Low,75749.0
